"actorid","name","birthdate","nationality"
1,"Tim Robbins","1958-10-16","American"
2,"Morgan Freeman","1937-06-01","American"
3,"Marlon Brando","1924-04-03","American"
4,"Al Pacino","1940-04-25","American"
5,"John Travolta","1954-02-18","American"
6,"Uma Thurman","1970-04-29","American"
7,"Christian Bale","1974-01-30","British"
8,"Heath Ledger","1979-04-04","Australian"
9,"Leonardo DiCaprio","1974-11-11","American"
10,"Joseph Gordon-Levitt","1981-02-17","American"
